Tree_spp,Myristic_SFA,Palmitic_SFA,17.0_SFA,Stearic_SFA,20.0_SFA,22.0_SFA,Total_SFA,16:1n-9_MUFA,16:1n-7 Palmitoleic_MUFA,Oleic_MUFA,cis-vaccenic_MUFA,Eicosenoic acid_MUFA,22:1n-9_MUFA,Total_MUFA,"9,12-Linoleic (18:2n-6)_n6_PUFA","5,9,12-Pinolenic (18:3n-6)_n6_PUFA","11,14-eicosadienoic acid (20:2n-6)_n6_PUFA","7,11,14-eicosatrienoic acid (20:3n-6)_n6_PUFA",Total_n6_PUFA,A-linolenic_n3_PUFA,Total_n3_PUFA,"7,11-eicosadienoic acid (20:2n-9)_n6_PUFA","5,9-octadecadienoic acid (18:2n-9)_n6_PUFA",Total_n9_PUFA,Total Percent
Pinus sylvestris,0.05924106,3.743744138,0.057208951,2.617699953,0.357364799,0,6.835258901,0.040704482,0.045055221,15.7144683,0.608883929,1.1760372,0,17.58514914,44.94693562,21.77140737,0.84800174,4.723557394,72.28990212,0.314997257,0.314997257,0.468676141,2.506016446,2.974692588,100
Pinus sylvestris,0.048555423,3.751463019,0.057791337,2.323937424,0.263967123,0,6.445714326,0.04953025,0.062291408,15.12028649,0.824810828,0.880853145,0,16.93777213,45.84353685,22.57913111,0.73039889,3.84912589,73.00219274,0.384991822,0.384991822,0.384384256,2.844944734,3.22932899,100
Pinus sylvestris,0.04928975,3.236813137,0.058280864,1.454069892,0.226824358,0,5.025278,0.063845436,0.132544417,16.52731698,1.028282375,0.926375259,0,18.67836447,44.14225447,23.06925519,0.590287421,4.758053606,72.55985069,0.379397527,0.379397527,0.518222492,2.838886818,3.357109311,100
Picea abis,0.025700288,2.477245308,0.031673161,1.190707854,0.248955828,0,3.974282439,0.039461233,0.031456664,12.70224173,1.296736674,0.232468884,0,14.30236518,49.6764176,27.75519151,0.507012096,1.042574442,78.98119565,0.347855379,0.347855379,0.029544856,2.364756496,2.394301352,100
Picea abis,0.013641535,2.533382848,0.020753323,1.093281348,0.266838216,0,3.927897269,0.026880996,0.011445931,12.82004461,0.669366641,0.286639905,0,13.81437809,50.97835368,27.73303723,0.551445806,0.99226692,80.25510363,0.325092371,0.325092371,0.037761566,1.639767074,1.67752864,100
Picea abis,0.024204344,2.574772589,0.025268615,0.960884142,0.22841978,0,3.81354947,0.020059468,0.066387005,15.00632639,2.63852784,0.292960514,0,18.02426122,48.77052417,25.42062992,0.561481807,1.142241779,75.89487768,0.319680916,0.319680916,0.035012941,1.912617776,1.947630716,100
Picea abis,0.030709595,2.632591692,0.023261599,1.783223789,0.269639357,0,4.739426031,0.03956138,0.071884231,12.58114595,1.915522717,0.292672446,0,14.90078672,49.92775069,25.64396528,0.455973747,0.82206275,76.84975247,0.268550365,0.268550365,0.035148281,3.206336133,3.241484415,100
Picea abis,0.045286526,3.235262401,0.033684853,1.566358717,0.32619787,0,5.206790367,0.044143854,0.034620624,13.95295347,0.998684011,0.312602693,0,15.34300465,49.2523843,25.07068846,0.36947492,0.956241823,75.6487895,0.229882422,0.229882422,0.056598538,3.514934521,3.571533059,100
Picea abis,0.036322821,2.905514489,0.034260272,1.42046282,0.300784893,0,4.697345294,0.037601039,0.022884127,14.02423476,0.985153124,0.286159664,0,15.35603271,49.7787725,24.81117634,0.455854214,0.901613848,75.9474169,0.210865232,0.210865232,0.032278029,3.756061834,3.788339863,100
Fagus sylvatica,0.11808227,7.690691071,0.057169173,3.193277321,0.406424273,0.296074106,11.76171822,0.058939315,0.12123784,38.33402771,0.863557657,5.993696386,0.541850894,45.9133098,38.15754258,0,0.142246577,0,38.29978916,4.025182822,4.025182822,0,0,0,100
Fagus sylvatica,0.143066287,6.856842455,0.044487891,2.937059672,0.45865614,0.340280418,10.78039286,0.142044759,0.112353755,34.5448964,0.828111501,6.067163845,0.808650736,42.50322099,42.48279791,0,0.157468025,0,42.64026593,4.07612021,4.07612021,0,0,0,100
Fagus sylvatica,0.112913972,8.118003439,0.038620352,3.106830892,0.455850162,0.311593913,12.14381273,0.057341111,0.230922466,38.78721002,1.207514114,6.10357624,0.739486108,47.12605006,37.2730224,0,0.101009555,0,37.37403196,3.356105248,3.356105248,0,0,0,100
Fagus sylvatica,0.108118116,9.209517796,0.052374408,2.306949061,0.345863955,0.329305197,12.35212853,0.118482754,0.231124492,29.59247814,0.778060137,6.312723716,0.909600947,37.94247019,43.31123149,0,0.21027729,0,43.52150878,6.183892496,6.183892496,0,0,0,100
